type,term_days,date,time,volume_mln,rate_wavg,settlement,volume_bln
Репо,3,2010-09-03,11:30,597.9,5.07,S0,0.5979
Репо,3,2010-09-03,15:30,0.0,0.0,S0,0.0
Репо,1,2010-09-06,11:30,611.5,5.06,S0,0.6115
Репо,91,2010-09-06,13:30,75.0,6.51,S2,0.075
Репо,1,2010-09-06,15:30,251.7,5.07,S0,0.2517
Репо,1,2010-09-07,11:30,749.2,5.06,S0,0.7492000000000001
Репо,7,2010-09-07,13:30,520.1,5.07,S1,0.5201
Репо,1,2010-09-07,15:30,0.0,0.0,S0,0.0
Репо,1,2010-09-08,15:30,0.0,0.0,S0,0.0
Репо,1,2010-09-08,11:30,289.9,5.05,S0,0.2899
Репо,1,2010-09-09,11:30,291.4,5.05,S0,0.2914
Репо,1,2010-09-09,15:30,0.0,0.0,S0,0.0
Репо,3,2010-09-10,11:30,291.4,5.05,S0,0.2914
Репо,3,2010-09-10,15:30,0.0,0.0,S0,0.0
Репо,1,2010-09-13,11:30,1667.4,5.04,S0,1.6674
Репо,91,2010-09-13,13:00,0.0,0.0,S2,0.0
Репо,1,2010-09-13,15:30,0.0,0.0,S0,0.0
Репо,1,2010-09-14,11:30,1377.2,5.04,S0,1.3772
Репо,7,2010-09-14,13:30,617.3,5.04,S1,0.6173
Репо,1,2010-09-14,15:30,0.0,0.0,S0,0.0
